Plot Title: CCP,,
#,"Date Time, GMT-05:00",Temp. °F (LGR S/N: 20462604. SEN S/N: 20462604)
3075,2/28/2019 11:00,59
3076,2/28/2019 11:30,59
3077,2/28/2019 12:00,60
3078,2/28/2019 12:30,60
3079,2/28/2019 13:00,60
3080,2/28/2019 13:30,60
3081,2/28/2019 14:00,60
3082,2/28/2019 14:30,60
3083,2/28/2019 15:00,60
3084,2/28/2019 15:30,60
3085,2/28/2019 16:00,60
3086,2/28/2019 16:30,60
3087,2/28/2019 17:00,60
3088,2/28/2019 17:30,60
3089,2/28/2019 18:00,60
3090,2/28/2019 18:30,60
3091,2/28/2019 19:00,60
3092,2/28/2019 19:30,60
3093,2/28/2019 20:00,60
3094,2/28/2019 20:30,60
3095,2/28/2019 21:00,60
3096,2/28/2019 21:30,60
3097,2/28/2019 22:00,60
3098,2/28/2019 22:30,60
3099,2/28/2019 23:00,60
3100,2/28/2019 23:30,60
3101,1/3/2019 0:00,60
3102,1/3/2019 0:30,59
3103,1/3/2019 1:00,60
3104,1/3/2019 1:30,60
3105,1/3/2019 2:00,59
3106,1/3/2019 2:30,59
3107,1/3/2019 3:00,59
3108,1/3/2019 3:30,59
3109,1/3/2019 4:00,58
3110,1/3/2019 4:30,59
3111,1/3/2019 5:00,59
3112,1/3/2019 5:30,59
3113,1/3/2019 6:00,58
3114,1/3/2019 6:30,58
3115,1/3/2019 7:00,58
3116,1/3/2019 7:30,58
3117,1/3/2019 8:00,58
3118,1/3/2019 8:30,59
3119,1/3/2019 9:00,59
3120,1/3/2019 9:30,59
3121,1/3/2019 10:00,59
3122,1/3/2019 10:30,59
3123,1/3/2019 11:00,60
3124,1/3/2019 11:30,59
3125,1/3/2019 12:00,59
3126,1/3/2019 12:30,59
3127,1/3/2019 13:00,59
3128,1/3/2019 13:30,61
3129,1/3/2019 14:00,61
3130,1/3/2019 14:30,61
3131,1/3/2019 15:00,61
3132,1/3/2019 15:30,60
3133,1/3/2019 16:00,60
3134,1/3/2019 16:30,61
3135,1/3/2019 17:00,61
3136,1/3/2019 17:30,60
3137,1/3/2019 18:00,59
3138,1/3/2019 18:30,59
3139,1/3/2019 19:00,58
3140,1/3/2019 19:30,59
3141,1/3/2019 20:00,59
3142,1/3/2019 20:30,60
3143,1/3/2019 21:00,59
3144,1/3/2019 21:30,59
3145,1/3/2019 22:00,58
3146,1/3/2019 22:30,58
3147,1/3/2019 23:00,58
3148,1/3/2019 23:30,58
3149,2/3/2019 0:00,58
3150,2/3/2019 0:30,58
3151,2/3/2019 1:00,58
3152,2/3/2019 1:30,58
3153,2/3/2019 2:00,58
3154,2/3/2019 2:30,57
3155,2/3/2019 3:00,57
3156,2/3/2019 3:30,58
3157,2/3/2019 4:00,57
3158,2/3/2019 4:30,57
3159,2/3/2019 5:00,57
3160,2/3/2019 5:30,57
3161,2/3/2019 6:00,57
3162,2/3/2019 6:30,57
3163,2/3/2019 7:00,57
3164,2/3/2019 7:30,57
3165,2/3/2019 8:00,57
3166,2/3/2019 8:30,58
3167,2/3/2019 9:00,58
3168,2/3/2019 9:30,58
3169,2/3/2019 10:00,58
3170,2/3/2019 10:30,58
3171,2/3/2019 11:00,58
3172,2/3/2019 11:30,58
3173,2/3/2019 12:00,59
3174,2/3/2019 12:30,59
3175,2/3/2019 13:00,60
3176,2/3/2019 13:30,60
3177,2/3/2019 14:00,60
3178,2/3/2019 14:30,60
3179,2/3/2019 15:00,60
3180,2/3/2019 15:30,60
3181,2/3/2019 16:00,60
3182,2/3/2019 16:30,60
