Plot,Title: Brazil: Sao Sebastiao,Sebastiao
#,"Date Time, GMT-05:00",End Of File (LGR S/N: 20462612)
2252,3/7/2019 7:11,27
2253,3/7/2019 8:11,27
2254,3/7/2019 9:11,27
2255,3/7/2019 10:11,28
2256,3/7/2019 11:11,28
2257,3/7/2019 12:11,29
2258,3/7/2019 13:11,29
2259,3/7/2019 14:11,30
2260,3/7/2019 15:11,29
2261,3/7/2019 16:11,29
2262,3/7/2019 17:11,29
2263,3/7/2019 18:11,29
2264,3/7/2019 19:11,29
2265,3/7/2019 20:11,29
2266,3/7/2019 21:11,29
2267,3/7/2019 22:11,28
2268,3/7/2019 23:11,28
2269,3/8/2019 0:11,28
2270,3/8/2019 1:11,28
2271,3/8/2019 2:11,27
2272,3/8/2019 3:11,27
2273,3/8/2019 4:11,27
2274,3/8/2019 5:11,27
2275,3/8/2019 6:11,27
2276,3/8/2019 7:11,28
2277,3/8/2019 8:11,28
2278,3/8/2019 9:11,29
2279,3/8/2019 10:11,29
2280,3/8/2019 11:11,30
2281,3/8/2019 12:11,30
2282,3/8/2019 13:11,30
2283,3/8/2019 14:11,30
2284,3/8/2019 15:11,30
2285,3/8/2019 16:11,30
2286,3/8/2019 17:11,30
2287,3/8/2019 18:11,30
2288,3/8/2019 19:11,29
2289,3/8/2019 20:11,29
2290,3/8/2019 21:11,29
2291,3/8/2019 22:11,29
2292,3/8/2019 23:11,29
2293,3/9/2019 0:11,29
2294,3/9/2019 1:11,28
2295,3/9/2019 2:11,28
2296,3/9/2019 3:11,27
2297,3/9/2019 4:11,27
2298,3/9/2019 5:11,27
2299,3/9/2019 6:11,27
2300,3/9/2019 7:11,27
2301,3/9/2019 8:11,27
2302,3/9/2019 9:11,27
2303,3/9/2019 10:11,28
2304,3/9/2019 11:11,28
2305,3/9/2019 12:11,28
2306,3/9/2019 13:11,28
2307,3/9/2019 14:11,28
2308,3/9/2019 15:11,28
2309,3/9/2019 16:11,27
2310,3/9/2019 17:11,27
2311,3/9/2019 18:11,27
2312,3/9/2019 19:11,27
2313,3/9/2019 20:11,27
2314,3/9/2019 21:11,27
2315,3/9/2019 22:11,27
2316,3/9/2019 23:11,26
2317,3/10/2019 0:11,26
2318,3/10/2019 1:11,26
2319,3/10/2019 2:11,26
2320,3/10/2019 3:11,26
2321,3/10/2019 4:11,26
2322,3/10/2019 5:11,26
2323,3/10/2019 6:11,26
2324,3/10/2019 7:11,26
2325,3/10/2019 8:11,25
2326,3/10/2019 9:11,27
2327,3/10/2019 10:11,29
2328,3/10/2019 11:11,28
2329,3/10/2019 12:11,26
2330,3/10/2019 13:11,26
2331,3/10/2019 14:11,26
2332,3/10/2019 15:11,26
2333,3/10/2019 16:11,26
2334,3/10/2019 17:11,26
2335,3/10/2019 18:11,26
2336,3/10/2019 19:11,26
2337,3/10/2019 20:11,26
2338,3/10/2019 21:11,26
2339,3/10/2019 22:11,26
2340,3/10/2019 23:11,26
2341,3/11/2019 0:11,26
2342,3/11/2019 1:11,25
2343,3/11/2019 2:11,25
2344,3/11/2019 3:11,25
2345,3/11/2019 4:11,25
2346,3/11/2019 5:11,25
2347,3/11/2019 6:11,26
2348,3/11/2019 7:11,26
2349,3/11/2019 8:11,26
2350,3/11/2019 9:11,26
2351,3/11/2019 10:11,27
2352,3/11/2019 11:11,27
2353,3/11/2019 12:11,27
2354,3/11/2019 13:11,27
2355,3/11/2019 14:11,27
2356,3/11/2019 15:11,27
2357,3/11/2019 16:11,27
2358,3/11/2019 17:11,27
2359,3/11/2019 18:11,27
2360,3/11/2019 19:11,27
2361,3/11/2019 20:11,27
2362,3/11/2019 21:11,26
2363,3/11/2019 22:11,26
2364,3/11/2019 23:11,26
2365,3/12/2019 0:11,26
2366,3/12/2019 1:11,26
2367,3/12/2019 2:11,26
2368,3/12/2019 3:11,26
2369,3/12/2019 4:11,26
2370,3/12/2019 5:11,26
2371,3/12/2019 6:11,26
2372,3/12/2019 7:11,27
2373,3/12/2019 8:11,27
2374,3/12/2019 9:11,27
2375,3/12/2019 10:11,27
2376,3/12/2019 11:11,28
2377,3/12/2019 12:11,28
2378,3/12/2019 13:11,28
2379,3/12/2019 14:11,28
2380,3/12/2019 15:11,27
2381,3/12/2019 16:11,27
2382,3/12/2019 17:11,27
2383,3/12/2019 18:11,27
2384,3/12/2019 19:11,27
2385,3/12/2019 20:11,27
2386,3/12/2019 21:11,27
2387,3/12/2019 22:11,27
2388,3/12/2019 23:11,26
2389,3/13/2019 0:11,26
2390,3/13/2019 1:11,26
2391,3/13/2019 2:11,26
2392,3/13/2019 3:11,26
2393,3/13/2019 4:11,26
2394,3/13/2019 5:11,26
2395,3/13/2019 6:11,26
2396,3/13/2019 7:11,26
2397,3/13/2019 8:11,27
2398,3/13/2019 9:11,27
2399,3/13/2019 10:11,27
2400,3/13/2019 11:11,27
2401,3/13/2019 12:11,27
2402,3/13/2019 13:11,27
2403,3/13/2019 14:11,27
2404,3/13/2019 15:11,27
2405,3/13/2019 16:11,27
2406,3/13/2019 17:11,27
2407,3/13/2019 18:11,27
2408,3/13/2019 19:11,27
2409,3/13/2019 20:11,27
2410,3/13/2019 21:11,27
2411,3/13/2019 22:11,27
2412,3/13/2019 23:11,27
2413,3/14/2019 0:11,27
2414,3/14/2019 1:11,27
2415,3/14/2019 2:11,27
2416,3/14/2019 3:11,26
2417,3/14/2019 4:11,26
2418,3/14/2019 5:11,27
2419,3/14/2019 6:11,26
2420,3/14/2019 7:11,27
2421,3/14/2019 8:11,27
2422,3/14/2019 9:11,27
2423,3/14/2019 10:11,27
2424,3/14/2019 11:11,28
2425,3/14/2019 12:11,28
2426,3/14/2019 13:11,28
2427,3/14/2019 14:11,27
2428,3/14/2019 15:11,27
2429,3/14/2019 16:11,27
2430,3/14/2019 17:11,27
2431,3/14/2019 18:11,27
2432,3/14/2019 19:11,27
2433,3/14/2019 20:11,27
2434,3/14/2019 21:11,26
2435,3/14/2019 22:11,26
2436,3/14/2019 23:11,26
2437,3/15/2019 0:11,26
2438,3/15/2019 1:11,26
2439,3/15/2019 2:11,26
2440,3/15/2019 3:11,26
2441,3/15/2019 4:11,26
2442,3/15/2019 5:11,26
2443,3/15/2019 6:11,26
2444,3/15/2019 7:11,26
2445,3/15/2019 8:11,27
2446,3/15/2019 9:11,27
2447,3/15/2019 10:11,27
