Plot Title: Puerto Montt CHILE Site Y,,,,,,
#,"Date Time, GMT-05:00","Temp, °F (LGR S/N: 20462593, SEN S/N: 20462593)",Coupler Attached (LGR S/N: 20462593),Host Connected (LGR S/N: 20462593),Stopped (LGR S/N: 20462593),End Of File (LGR S/N: 20462593)
1038,2/21/2019 0:30,61.227,,,,
1039,2/21/2019 1:00,61.227,,,,
1040,2/21/2019 1:30,61.054,,,,
1041,2/21/2019 2:00,61.054,,,,
1042,2/21/2019 2:30,61.054,,,,
1043,2/21/2019 3:00,60.883,,,,
1044,2/21/2019 3:30,60.883,,,,
1045,2/21/2019 4:00,60.712,,,,
1046,2/21/2019 4:30,60.712,,,,
1047,2/21/2019 5:00,60.712,,,,
1048,2/21/2019 5:30,60.883,,,,
1049,2/21/2019 6:00,60.712,,,,
1050,2/21/2019 6:30,60.712,,,,
1051,2/21/2019 7:00,60.712,,,,
1052,2/21/2019 7:30,60.539,,,,
1053,2/21/2019 8:00,60.539,,,,
1054,2/21/2019 8:30,60.539,,,,
1055,2/21/2019 9:00,60.539,,,,
1056,2/21/2019 9:30,60.712,,,,
1057,2/21/2019 10:00,60.712,,,,
1058,2/21/2019 10:30,60.883,,,,
1059,2/21/2019 11:00,60.883,,,,
1060,2/21/2019 11:30,60.883,,,,
1061,2/21/2019 12:00,60.883,,,,
1062,2/21/2019 12:30,60.883,,,,
1063,2/21/2019 13:00,60.883,,,,
1064,2/21/2019 13:30,60.883,,,,
1065,2/21/2019 14:00,60.883,,,,
1066,2/21/2019 14:30,60.883,,,,
1067,2/21/2019 15:00,60.883,,,,
1068,2/21/2019 15:30,60.883,,,,
1069,2/21/2019 16:00,60.883,,,,
1070,2/21/2019 16:30,60.883,,,,
1071,2/21/2019 17:00,60.712,,,,
1072,2/21/2019 17:30,60.712,,,,
1073,2/21/2019 18:00,60.712,,,,
1074,2/21/2019 18:30,60.712,,,,
1075,2/21/2019 19:00,60.712,,,,
1076,2/21/2019 19:30,60.712,,,,
1077,2/21/2019 20:00,60.712,,,,
1078,2/21/2019 20:30,60.712,,,,
1079,2/21/2019 21:00,60.539,,,,
1080,2/21/2019 21:30,60.712,,,,
1081,2/21/2019 22:00,60.712,,,,
1082,2/21/2019 22:30,60.539,,,,
1083,2/21/2019 23:00,60.539,,,,
1084,2/21/2019 23:30,60.712,,,,
1085,2/22/2019 0:00,60.712,,,,
1086,2/22/2019 0:30,60.712,,,,
1087,2/22/2019 1:00,60.712,,,,
1088,2/22/2019 1:30,60.712,,,,
1089,2/22/2019 2:00,60.712,,,,
1090,2/22/2019 2:30,60.712,,,,
1091,2/22/2019 3:00,60.712,,,,
1092,2/22/2019 3:30,60.539,,,,
1093,2/22/2019 4:00,60.712,,,,
1094,2/22/2019 4:30,60.712,,,,
1095,2/22/2019 5:00,60.539,,,,
1096,2/22/2019 5:30,60.539,,,,
1097,2/22/2019 6:00,60.368,,,,
1098,2/22/2019 6:30,60.368,,,,
1099,2/22/2019 7:00,60.368,,,,
1100,2/22/2019 7:30,60.368,,,,
1101,2/22/2019 8:00,60.368,,,,
1102,2/22/2019 8:30,60.368,,,,
1103,2/22/2019 9:00,60.712,,,,
1104,2/22/2019 9:30,60.883,,,,
1105,2/22/2019 10:00,60.712,,,,
1106,2/22/2019 10:30,61.054,,,,
1107,2/22/2019 11:00,61.054,,,,
1108,2/22/2019 11:30,61.227,,,,
1109,2/22/2019 12:00,61.398,,,,
1110,2/22/2019 12:30,61.398,,,,
1111,2/22/2019 13:00,61.569,,,,
1112,2/22/2019 13:30,61.741,,,,
1113,2/22/2019 14:00,62.254,,,,
1114,2/22/2019 14:30,62.083,,,,
1115,2/22/2019 15:00,62.425,,,,
1116,2/22/2019 15:30,61.912,,,,
1117,2/22/2019 16:00,61.912,,,,
1118,2/22/2019 16:30,61.912,,,,
1119,2/22/2019 17:00,61.741,,,,
1120,2/22/2019 17:30,61.741,,,,
1121,2/22/2019 18:00,61.569,,,,
1122,2/22/2019 18:30,61.569,,,,
1123,2/22/2019 19:00,61.741,,,,
1124,2/22/2019 19:30,61.741,,,,
1125,2/22/2019 20:00,61.912,,,,
1126,2/22/2019 20:30,61.912,,,,
1127,2/22/2019 21:00,61.398,,,,
1128,2/22/2019 21:30,61.398,,,,
