Plot Title: Costa Rica,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20350663, SEN S/N: 20350663)",End Of File (LGR S/N: 20350663)
1363,7/8/2018 19:00,29.953,
1364,7/8/2018 19:30,29.953,
1365,7/8/2018 20:00,29.752,
1366,7/8/2018 20:30,29.652,
1367,7/8/2018 21:00,29.652,
1368,7/8/2018 21:30,29.552,
1369,7/8/2018 22:00,29.552,
1370,7/8/2018 22:30,29.552,
1371,7/8/2018 23:00,29.552,
1372,7/8/2018 23:30,29.452,
1373,7/9/2018 0:00,29.452,
1374,7/9/2018 0:30,29.452,
1375,7/9/2018 1:00,29.452,
1376,7/9/2018 1:30,29.452,
1377,7/9/2018 2:00,29.452,
1378,7/9/2018 2:30,29.452,
1379,7/9/2018 3:00,29.352,
1380,7/9/2018 3:30,29.352,
1381,7/9/2018 4:00,29.352,
1382,7/9/2018 4:30,29.352,
1383,7/9/2018 5:00,29.352,
1384,7/9/2018 5:30,29.252,
1385,7/9/2018 6:00,29.252,
1386,7/9/2018 6:30,29.252,
1387,7/9/2018 7:00,29.252,
1388,7/9/2018 7:30,29.252,
1389,7/9/2018 8:00,29.252,
1390,7/9/2018 8:30,29.252,
1391,7/9/2018 9:00,29.352,
1392,7/9/2018 9:30,29.352,
1393,7/9/2018 10:00,29.452,
1394,7/9/2018 10:30,29.352,
1395,7/9/2018 11:00,29.352,
1396,7/9/2018 11:30,29.752,
1397,7/9/2018 12:00,29.452,
1398,7/9/2018 12:30,29.853,
1399,7/9/2018 13:00,29.752,
1400,7/9/2018 13:30,29.552,
1401,7/9/2018 14:00,29.552,
1402,7/9/2018 14:30,29.552,
1403,7/9/2018 15:00,29.752,
1404,7/9/2018 15:30,29.652,
1405,7/9/2018 16:00,29.652,
1406,7/9/2018 16:30,29.752,
1407,7/9/2018 17:00,29.853,
1408,7/9/2018 17:30,29.953,
1409,7/9/2018 18:00,29.953,
1410,7/9/2018 18:30,29.953,
1411,7/9/2018 19:00,30.054,
1412,7/9/2018 19:30,29.953,
1413,7/9/2018 20:00,29.853,
1414,7/9/2018 20:30,29.752,
1415,7/9/2018 21:00,29.652,
1416,7/9/2018 21:30,29.652,
1417,7/9/2018 22:00,29.652,
1418,7/9/2018 22:30,29.552,
1419,7/9/2018 23:00,29.452,
1420,7/9/2018 23:30,29.452,
1421,7/10/2018 0:00,29.452,
1422,7/10/2018 0:30,29.452,
1423,7/10/2018 1:00,29.352,
