Plot Title: Newport,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 20350664, SEN S/N: 20350664)","End Of File (LGR S/N: 20350664, SEN S/N: 20350664)"
2027,7/28/2018 19:00,12.11,
2028,7/28/2018 19:30,11.916,
2029,7/28/2018 20:00,11.916,
2030,7/28/2018 20:30,12.11,
2031,7/28/2018 21:00,12.304,
2032,7/28/2018 21:30,12.304,
2033,7/28/2018 22:00,12.304,
2034,7/28/2018 22:30,12.401,
2035,7/28/2018 23:00,12.497,
2036,7/28/2018 23:30,12.497,
2037,7/29/2018 0:00,12.497,
2038,7/29/2018 0:30,12.594,
2039,7/29/2018 1:00,12.594,
2040,7/29/2018 1:30,12.497,
2041,7/29/2018 2:00,12.69,
2042,7/29/2018 2:30,12.594,
2043,7/29/2018 3:00,12.497,
2044,7/29/2018 3:30,12.304,
2045,7/29/2018 4:00,12.207,
2046,7/29/2018 4:30,12.207,
2047,7/29/2018 5:00,12.207,
2048,7/29/2018 5:30,12.11,
2049,7/29/2018 6:00,11.916,
2050,7/29/2018 6:30,11.722,
2051,7/29/2018 7:00,11.625,
2052,7/29/2018 7:30,11.528,
2053,7/29/2018 8:00,11.431,
2054,7/29/2018 8:30,11.431,
2055,7/29/2018 9:00,11.431,
2056,7/29/2018 9:30,11.528,
2057,7/29/2018 10:00,11.431,
2058,7/29/2018 10:30,11.431,
2059,7/29/2018 11:00,11.431,
2060,7/29/2018 11:30,11.819,
2061,7/29/2018 12:00,12.497,
2062,7/29/2018 12:30,12.787,
2063,7/29/2018 13:00,12.883,
2064,7/29/2018 13:30,12.883,
2065,7/29/2018 14:00,12.883,
2066,7/29/2018 14:30,12.787,
2067,7/29/2018 15:00,12.594,
2068,7/29/2018 15:30,12.497,
2069,7/29/2018 16:00,12.11,
2070,7/29/2018 16:30,12.401,
2071,7/29/2018 17:00,12.69,
2072,7/29/2018 17:30,12.98,
2073,7/29/2018 18:00,12.787,
2074,7/29/2018 18:30,12.69,
2075,7/29/2018 19:00,13.076,
2076,7/29/2018 19:30,12.98,
2077,7/29/2018 20:00,12.883,
2078,7/29/2018 20:30,12.98,
2079,7/29/2018 21:00,13.076,
2080,7/29/2018 21:30,13.173,
2081,7/29/2018 22:00,12.787,
2082,7/29/2018 22:30,12.98,
2083,7/29/2018 23:00,12.98,
2084,7/29/2018 23:30,13.173,
2085,7/30/2018 0:00,13.076,
2086,7/30/2018 0:30,13.173,
2087,7/30/2018 1:00,13.269,
2088,7/30/2018 1:30,12.98,
2089,7/30/2018 2:00,12.69,
2090,7/30/2018 2:30,12.883,
2091,7/30/2018 3:00,12.594,
2092,7/30/2018 3:30,12.69,
2093,7/30/2018 4:00,12.594,
2094,7/30/2018 4:30,12.497,
2095,7/30/2018 5:00,12.787,
2096,7/30/2018 5:30,12.594,
2097,7/30/2018 6:00,12.304,
2098,7/30/2018 6:30,12.11,
2099,7/30/2018 7:00,11.916,
2100,7/30/2018 7:30,11.916,
2101,7/30/2018 8:00,11.819,
2102,7/30/2018 8:30,11.625,
2103,7/30/2018 9:00,11.819,
2104,7/30/2018 9:30,11.625,
2105,7/30/2018 10:00,11.625,
2106,7/30/2018 10:30,11.819,
