Plot Title: Santa Marta,,,,,,
#,"Date Time, GMT-05:00","Temp, øF (LGR S/N: 20350662, SEN S/N: 20350662)",Coupler Attached (LGR S/N: 20350662),Host Connected (LGR S/N: 20350662),Stopped (LGR S/N: 20350662),End Of File (LGR S/N: 20350662)
413,8/11/2018 8:30,80.735,,,,
414,8/11/2018 9:00,80.735,,,,
415,8/11/2018 9:30,80.559,,,,
416,8/11/2018 10:00,80.735,,,,
417,8/11/2018 10:30,81.621,,,,
418,8/11/2018 11:00,81.621,,,,
419,8/11/2018 11:30,81.621,,,,
420,8/11/2018 12:00,81.797,,,,
421,8/11/2018 12:30,81.442,,,,
422,8/11/2018 13:00,82.152,,,,
423,8/11/2018 13:30,82.33,,,,
424,8/11/2018 14:00,82.33,,,,
425,8/11/2018 14:30,82.33,,,,
426,8/11/2018 15:00,82.508,,,,
427,8/11/2018 15:30,82.508,,,,
428,8/11/2018 16:00,82.33,,,,
429,8/11/2018 16:30,82.508,,,,
430,8/11/2018 17:00,82.686,,,,
431,8/11/2018 17:30,82.686,,,,
432,8/11/2018 18:00,82.686,,,,
433,8/11/2018 18:30,82.508,,,,
434,8/11/2018 19:00,82.33,,,,
435,8/11/2018 19:30,82.152,,,,
436,8/11/2018 20:00,82.152,,,,
437,8/11/2018 20:30,82.152,,,,
438,8/11/2018 21:00,82.152,,,,
439,8/11/2018 21:30,82.152,,,,
440,8/11/2018 22:00,82.152,,,,
441,8/11/2018 22:30,82.152,,,,
442,8/11/2018 23:00,82.152,,,,
443,8/11/2018 23:30,81.975,,,,
444,8/12/2018 0:00,81.797,,,,
445,8/12/2018 0:30,81.621,,,,
446,8/12/2018 1:00,81.621,,,,
447,8/12/2018 1:30,81.442,,,,
448,8/12/2018 2:00,81.266,,,,
449,8/12/2018 2:30,81.266,,,,
450,8/12/2018 3:00,81.09,,,,
451,8/12/2018 3:30,81.09,,,,
452,8/12/2018 4:00,80.911,,,,
453,8/12/2018 4:30,80.911,,,,
454,8/12/2018 5:00,80.911,,,,
455,8/12/2018 5:30,80.735,,,,
456,8/12/2018 6:00,80.735,,,,
457,8/12/2018 6:30,80.559,,,,
458,8/12/2018 7:00,80.559,,,,
459,8/12/2018 7:30,80.559,,,,
460,8/12/2018 8:00,80.206,,,,
461,8/12/2018 8:30,80.029,,,,
462,8/12/2018 9:00,80.206,,,,
463,8/12/2018 9:30,80.206,,,,
464,8/12/2018 10:00,79.502,,,,
465,8/12/2018 10:30,79.678,,,,
466,8/12/2018 11:00,79.502,,,,
467,8/12/2018 11:30,79.678,,,,
468,8/12/2018 12:00,79.853,,,,
469,8/12/2018 12:30,80.206,,,,
470,8/12/2018 13:00,80.735,,,,
471,8/12/2018 13:30,80.735,,,,
472,8/12/2018 14:00,80.735,,,,
473,8/12/2018 14:30,80.911,,,,
474,8/12/2018 15:00,81.442,,,,
475,8/12/2018 15:30,81.975,,,,
476,8/12/2018 16:00,82.152,,,,
477,8/12/2018 16:30,81.975,,,,
478,8/12/2018 17:00,81.442,,,,
479,8/12/2018 17:30,81.442,,,,
480,8/12/2018 18:00,81.442,,,,
481,8/12/2018 18:30,81.266,,,,
482,8/12/2018 19:00,81.442,,,,
483,8/12/2018 19:30,81.442,,,,
484,8/12/2018 20:00,81.266,,,,
485,8/12/2018 20:30,81.266,,,,
486,8/12/2018 21:00,81.442,,,,
487,8/12/2018 21:30,81.266,,,,
488,8/12/2018 22:00,81.266,,,,
489,8/12/2018 22:30,81.09,,,,
490,8/12/2018 23:00,81.09,,,,
491,8/12/2018 23:30,81.09,,,,
492,8/13/2018 0:00,80.911,,,,
493,8/13/2018 0:30,80.911,,,,
494,8/13/2018 1:00,80.735,,,,
495,8/13/2018 1:30,80.735,,,,
496,8/13/2018 2:00,80.735,,,,
497,8/13/2018 2:30,80.559,,,,
498,8/13/2018 3:00,80.559,,,,
499,8/13/2018 3:30,80.559,,,,
500,8/13/2018 4:00,80.559,,,,
501,8/13/2018 4:30,80.382,,,,
502,8/13/2018 5:00,80.382,,,,
503,8/13/2018 5:30,80.382,,,,
504,8/13/2018 6:00,80.382,,,,
505,8/13/2018 6:30,80.382,,,,
506,8/13/2018 7:00,80.206,,,,
507,8/13/2018 7:30,80.382,,,,
508,8/13/2018 8:00,80.382,,,,
509,8/13/2018 8:30,80.382,,,,
510,8/13/2018 9:00,80.559,,,,
511,8/13/2018 9:30,80.735,,,,
512,8/13/2018 10:00,80.911,,,,
513,8/13/2018 10:30,81.266,,,,
514,8/13/2018 11:00,81.442,,,,
515,8/13/2018 11:30,81.621,,,,
516,8/13/2018 12:00,81.975,,,,
517,8/13/2018 12:30,82.33,,,,
518,8/13/2018 13:00,82.33,,,,
519,8/13/2018 13:30,82.152,,,,
520,8/13/2018 14:00,82.152,,,,
521,8/13/2018 14:30,81.975,,,,
522,8/13/2018 15:00,81.975,,,,
523,8/13/2018 15:30,81.975,,,,
524,8/13/2018 16:00,82.33,,,,
525,8/13/2018 16:30,82.508,,,,
526,8/13/2018 17:00,82.33,,,,
527,8/13/2018 17:30,82.152,,,,
528,8/13/2018 18:00,82.152,,,,
529,8/13/2018 18:30,81.975,,,,
530,8/13/2018 19:00,81.797,,,,
531,8/13/2018 19:30,81.797,,,,
532,8/13/2018 20:00,81.621,,,,
533,8/13/2018 20:30,81.442,,,,
534,8/13/2018 21:00,81.442,,,,
535,8/13/2018 21:30,81.442,,,,
536,8/13/2018 22:00,81.442,,,,
537,8/13/2018 22:30,81.266,,,,
538,8/13/2018 23:00,81.266,,,,
539,8/13/2018 23:30,81.266,,,,
540,8/14/2018 0:00,81.266,,,,
541,8/14/2018 0:30,81.09,,,,
542,8/14/2018 1:00,81.09,,,,
543,8/14/2018 1:30,81.09,,,,
544,8/14/2018 2:00,80.911,,,,
545,8/14/2018 2:30,80.911,,,,
546,8/14/2018 3:00,80.911,,,,
547,8/14/2018 3:30,80.735,,,,
548,8/14/2018 4:00,80.735,,,,
549,8/14/2018 4:30,80.559,,,,
550,8/14/2018 5:00,80.559,,,,
551,8/14/2018 5:30,80.559,,,,
552,8/14/2018 6:00,80.559,,,,
553,8/14/2018 6:30,80.382,,,,
554,8/14/2018 7:00,80.382,,,,
555,8/14/2018 7:30,80.382,,,,
556,8/14/2018 8:00,80.382,,,,
557,8/14/2018 8:30,80.559,,,,
558,8/14/2018 9:00,80.382,,,,
559,8/14/2018 9:30,80.382,,,,
560,8/14/2018 10:00,80.382,,,,
561,8/14/2018 10:30,80.559,,,,
562,8/14/2018 11:00,80.735,,,,
563,8/14/2018 11:30,80.911,,,,
564,8/14/2018 12:00,81.09,,,,
565,8/14/2018 12:30,80.911,,,,
566,8/14/2018 13:00,80.735,,,,
567,8/14/2018 13:30,80.911,,,,
568,8/14/2018 14:00,81.09,,,,
569,8/14/2018 14:30,81.266,,,,
570,8/14/2018 15:00,81.266,,,,
571,8/14/2018 15:30,81.09,,,,
572,8/14/2018 16:00,80.911,,,,
573,8/14/2018 16:30,81.09,,,,
574,8/14/2018 17:00,81.266,,,,
575,8/14/2018 17:30,81.09,,,,
576,8/14/2018 18:00,81.09,,,,
577,8/14/2018 18:30,81.266,,,,
578,8/14/2018 19:00,81.266,,,,
579,8/14/2018 19:30,81.266,,,,
580,8/14/2018 20:00,81.09,,,,
581,8/14/2018 20:30,81.09,,,,
582,8/14/2018 21:00,80.911,,,,
583,8/14/2018 21:30,80.735,,,,
584,8/14/2018 22:00,80.735,,,,
585,8/14/2018 22:30,80.735,,,,
586,8/14/2018 23:00,80.559,,,,
587,8/14/2018 23:30,80.735,,,,
588,8/15/2018 0:00,80.559,,,,
589,8/15/2018 0:30,80.559,,,,
590,8/15/2018 1:00,80.559,,,,
591,8/15/2018 1:30,80.559,,,,
592,8/15/2018 2:00,80.559,,,,
593,8/15/2018 2:30,80.559,,,,
594,8/15/2018 3:00,80.559,,,,
595,8/15/2018 3:30,80.559,,,,
596,8/15/2018 4:00,79.853,,,,
597,8/15/2018 4:30,80.206,,,,
598,8/15/2018 5:00,80.206,,,,
599,8/15/2018 5:30,80.206,,,,
600,8/15/2018 6:00,80.559,,,,
